"name","Antigen","Fluorophore","Type","Detector","Negative","UV1-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","YG1-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","YG10-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"DTR_2023_ILT_00-Reference Group-DR_CCR4 BUV615 (Beads).1237096.fcs","CCR4","BUV615","Beads","UV10","BeadUnstained",0.005,0.029,0.024,0.02,0.02,0.021,0.014,0.005,0.206,1,0.395,0.21,0.12,0.105,0.064,0.033,0,0,0,0,0,0,0,0.016,0.102,0.28,0.093,0.048,0.027,0.017,0.011,0.003,0,0,0,0.003,0.031,0.067,0.029,0.023,0.019,0.008,0.004,0.003,0.002,0.001,0.087,0.469,0.997,0.446,0.338,0.254,0.22,0.083,0.056,0.023,0.005,0.006,0.005,0.002,0.002,0.001,0.001,0
"DTR_2023_ILT_00-Reference Group-DR_CCR6 BV786 (Beads).1237097.fcs","CCR6","BV786","Beads","V15","BeadUnstained",0,0,0.002,0.001,0.001,0.001,0.001,0,0,0,0,0,0.001,0.042,0.154,0.124,0.053,0.054,0.051,0.022,0.01,0.006,0.005,0.003,0.002,0.003,0.002,0.002,0.016,0.239,1,0.551,0,0,0,0,0,0,0,0,0,0,0.001,0.008,0.019,0.023,0,0,0,0,0,0,0.001,0.006,0.025,0.021,0,0,0,0.001,0.007,0.033,0.089,0.049
"DTR_2023_ILT_00-Reference Group-DR_CCR7 BV650 (Beads).1237098.fcs","CCR7","BV650","Beads","V11","BeadUnstained",0,0,0.002,0.001,0.001,0.001,0.001,0,0,0.031,0.168,0.077,0.056,0.044,0.024,0.014,0.063,0.067,0.061,0.025,0.01,0.006,0.004,0.003,0.023,0.3,1,0.442,0.319,0.194,0.121,0.047,0,0,0,0,0,0.001,0.011,0.007,0.006,0.003,0.001,0.001,0.001,0.001,0,0.002,0.026,0.208,0.132,0.1,0.109,0.038,0.024,0.011,0.122,0.12,0.1,0.067,0.045,0.025,0.022,0.009
"DTR_2023_ILT_00-Reference Group-DR_CD107a APC-R700 (Beads).1237099.fcs","CD107a","APC-R700","Beads","R4","BeadUnstained",-0.051,-0.028,-0.034,-0.037,-0.005,-0.037,-0.055,-0.06,-0.13,-0.013,0.809,0.873,0.833,0.984,0.974,0.976,-0.046,-0.034,-0.122,-0.085,-0.179,-0.184,-0.346,-0.239,-0.188,-0.123,0.514,0.616,0.805,0.845,0.861,0.897,-0.024,-0.043,-0.096,-0.126,-0.116,-0.084,0.42,0.687,0.621,0.684,0.849,0.801,0.791,0.845,-0.076,-0.029,0.109,0.729,0.793,0.967,0.934,0.888,0.902,0.885,0.742,0.88,0.828,0.897,0.847,0.917,0.937,1
"DTR_2023_ILT_00-Reference Group-DR_CD127 BV421 (Beads).1237100.fcs","CD127","BV421","Beads","V1","BeadUnstained",0,0,0.124,0.071,0.096,0.081,0.053,0.018,0.006,0.001,0,0,0,0,0,0,1,0.961,0.938,0.382,0.16,0.095,0.068,0.02,0.008,0.006,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTR_2023_ILT_00-Reference Group-DR_CD16 APC (Beads).1237101.fcs","CD16","APC","Beads","R1","BeadUnstained",0,0,0,0,0,0,0,0,0,0.001,0.077,0.024,0.02,0.023,0.01,0.006,0,0,0,0,0,0,0,0,0,0.004,0.233,0.074,0.061,0.054,0.025,0.011,0,0,0,0,0,0,0.028,0.018,0.009,0.006,0.005,0.003,0.002,0.002,0,0,0.005,0.603,0.381,0.178,0.239,0.124,0.059,0.033,1,0.895,0.466,0.38,0.387,0.206,0.148,0.079
"DTR_2023_ILT_00-Reference Group-DR_CD161 BV480 (Beads).1237102.fcs","CD161","BV480","Beads","V5","BeadUnstained",0,0,0,0,0.014,0.137,0.272,0.136,0.072,0.019,0.004,0.002,0.001,0.001,0.001,0,0,0.019,0.256,0.951,1,0.795,0.733,0.322,0.173,0.148,0.04,0.015,0.009,0.006,0.003,0.001,0.066,0.046,0.033,0.01,0.006,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTR_2023_ILT_00-Reference Group-DR_CD25 PE-Cy5 (Beads).1237103.fcs","CD25","PE-Cy5","Beads","YG5","BeadUnstained",-0.051,-0.075,-0.019,-0.022,-0.03,-0.048,-0.051,0.021,0.574,0.301,0.786,0.866,0.857,0.887,0.978,0.974,-0.051,-0.058,-0.091,-0.106,-0.086,-0.099,-0.02,0.394,0.42,0.417,0.527,0.675,0.746,0.835,0.811,0.829,0.504,0.295,0.444,0.577,0.647,0.555,0.654,0.673,0.713,0.699,0.818,0.771,0.769,0.788,0.661,0.703,0.719,0.843,0.839,1,0.911,0.875,0.872,0.867,0.755,0.817,0.766,0.86,0.803,0.845,0.872,0.913
"DTR_2023_ILT_00-Reference Group-DR_CD26 PerCP-Cy5.5 (Beads).1237104.fcs","CD26","PerCP-Cy5.5","Beads","B9","BeadUnstained",0.007,-0.062,-0.053,-0.04,-0.042,-0.118,-0.129,-0.063,-0.12,-0.053,0.795,0.871,0.863,0.942,1,0.981,-0.093,-0.121,-0.186,-0.206,-0.275,-0.226,-0.344,-0.23,-0.132,-0.092,0.466,0.613,0.765,0.834,0.827,0.916,-0.098,-0.071,-0.086,-0.077,0.006,-0.008,0.562,0.629,0.671,0.69,0.849,0.881,0.785,0.822,-0.087,-0.011,-0.002,0.676,0.758,0.986,0.896,0.892,0.907,0.859,0.708,0.782,0.808,0.818,0.87,0.873,0.923,0.98
"DTR_2023_ILT_00-Reference Group-DR_CD27 APC-Fire 750 (Beads).1237105.fcs","CD27","APC-Fire 750","Beads","R7","BeadUnstained",-0.038,0.003,0.006,0.028,0.014,0.011,0.002,-0.003,0.003,0.003,0.251,0.128,0.211,0.914,0.997,0.976,0.008,0.02,0.001,0.016,-0.023,-0.025,-0.044,-0.014,0.009,0.026,0.46,0.237,0.439,0.858,0.921,0.886,0.007,-0.001,0.017,0.012,0.003,0.012,0.114,0.073,0.063,0.063,0.226,0.775,0.743,0.84,0.059,0.026,0.132,0.771,0.758,0.646,0.882,0.923,0.922,0.904,0.801,0.874,0.848,1,0.891,0.919,0.928,0.979
