"name","Antigen","Fluorophore","Type","Detector","Negative"
"DTR_2023_ILT_00-Reference Group-4BeadsUnstained (Beads).1237095.fcs","NA","BeadUnstained","Beads","","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CCR4 BUV615 (Beads).1237096.fcs","CCR4","BUV615","Beads","UV10","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CCR6 BV786 (Beads).1237097.fcs","CCR6","BV786","Beads","V15","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CCR7 BV650 (Beads).1237098.fcs","CCR7","BV650","Beads","V11","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CD107a APC-R700 (Beads).1237099.fcs","CD107a","APC-R700","Beads","R4","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CD127 BV421 (Beads).1237100.fcs","CD127","BV421","Beads","V1","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CD16 APC (Beads).1237101.fcs","CD16","APC","Beads","R1","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CD161 BV480 (Beads).1237102.fcs","CD161","BV480","Beads","V5","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CD25 PE-Cy5 (Beads).1237103.fcs","CD25","PE-Cy5","Beads","YG5","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CD26 PerCP-Cy5.5 (Beads).1237104.fcs","CD26","PerCP-Cy5.5","Beads","B9","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CD27 APC-Fire 750 (Beads).1237105.fcs","CD27","APC-Fire 750","Beads","R7","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CD3 Alexa Fluor 488 (Beads).1237106.fcs","CD3","Alexa Fluor 488","Beads","B2","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CD3 Alexa Fluor 647 (Beads).1237107.fcs","CD3","Alexa Fluor 647","Beads","R2","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CD3 FITC (Beads).1237108.fcs","CD3","FITC","Beads","B2","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CD3 Spark Blue 550 (Beads).1237109.fcs","CD3","Spark Blue 550","Beads","B3","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CD38 APC-Fire 810 (Beads).1237110.fcs","CD38","APC-Fire 810","Beads","R8","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CD4 BUV805 (Beads).1237111.fcs","CD4","BUV805","Beads","UV16","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CD45RA BV510 (Beads).1237112.fcs","CD45RA","BV510","Beads","V7","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CD56 BV605 (Beads).1237113.fcs","CD56","BV605","Beads","V10","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CD62L BUV395 (Beads).1237114.fcs","CD62L","BUV395","Beads","UV2","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CD69 BUV563 (Beads).1237115.fcs","CD69","BUV563","Beads","UV9","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CD7 BV711 (Beads).1237116.fcs","CD7","BV711","Beads","V13","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CD8 BUV496 (Beads).1237117.fcs","CD8","BUV496","Beads","UV7","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_CXCR3 BUV737 (Beads).1237118.fcs","CXCR3","BUV737","Beads","UV14","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_Dump_CD14 Pacific Blue (Beads).1237119.fcs","Dump_CD14","Pacific Blue","Beads","V3","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_Dump_CD19 Pacific Blue (Beads).1237120.fcs","Dump_CD19","Pacific Blue","Beads","V3","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_IFNg BV750 (Beads).1237121.fcs","IFNg","BV750","Beads","V14","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_NKG2D PE (Beads).1237122.fcs","NKG2D","PE","Beads","YG1","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_PD1 PE-Vio770 (Beads).1237123.fcs","PD1","PE-Vio 770","Beads","YG9","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_TNFa PE-Dazzle594 (Beads).1237124.fcs","TNFa","PE-Dazzle 594","Beads","YG3","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_Va24Ja18 FITC (Beads).1237125.fcs","Va24Ja18","FITC","Beads","B2","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_Va7.2 Alexa Fluor 647 (Beads).1237126.fcs","Va7.2","Alexa Fluor 647","Beads","R2","BeadUnstained"
"DTR_2023_ILT_00-Reference Group-DR_VD2 BUV661 (Beads).1237127.fcs","VD2","BUV661","Beads","UV11","BeadUnstained"
