"name","Antigen","Fluorophore","Type","Detector","Negative"
"DTR_2023_ILT_01-Reference Group-DR_CCR4 BUV615 (Cells).1235678.fcs","CCR4","BUV615","Cells","UV10","PBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_CCR6 BV786 (Cells).1235679.fcs","CCR6","BV786","Cells","V15","PBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_CCR7 BV650 (Cells).1235680.fcs","CCR7","BV650","Cells","V11","PBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_CD107a APC-R700 (Cells).1235681.fcs","CD107a","APC-R700","Cells","R4","PBMC_Activated_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_CD127 BV421 (Cells).1235682.fcs","CD127","BV421","Cells","V1","PBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_CD16 APC (Cells).1235683.fcs","CD16","APC","Cells","R1","CBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_CD161 BV480 (Cells).1235684.fcs","CD161","BV480","Cells","V5","PBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_CD25 PE-Cy5 (Cells).1235685.fcs","CD25","PE-Cy5","Cells","YG5","PBMC_Activated_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_CD26 PerCP-Cy5.5 (Cells).1235686.fcs","CD26","PerCP-Cy5.5","Cells","B9","PBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_CD27 APC-Fire 750 (Cells).1235687.fcs","CD27","APC-Fire 750","Cells","R7","PBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_CD3 Alexa Fluor 488 (Cells).1235688.fcs","CD3","Alexa Fluor 488","Cells","B2","PBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_CD3 Alexa Fluor 647 (Cells).1235689.fcs","CD3","Alexa Fluor 647","Cells","R2","PBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_CD3 FITC (Cells).1235690.fcs","CD3","FITC","Cells","B2","PBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_CD3 Spark Blue 550 (Cells).1235691.fcs","CD3","Spark Blue 550","Cells","B3","PBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_CD38 APC-Fire 810 (Cells).1235692.fcs","CD38","APC-Fire 810","Cells","R8","CBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_CD4 BUV805 (Cells).1235693.fcs","CD4","BUV805","Cells","UV16","PBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_CD45RA BV510 (Cells).1235694.fcs","CD45RA","BV510","Cells","V7","CBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_CD56 BV605 (Cells).1235695.fcs","CD56","BV605","Cells","V10","CBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_CD62L BUV395 (Cells).1235696.fcs","CD62L","BUV395","Cells","UV2","PBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_CD69 BUV563 (Cells).1235697.fcs","CD69","BUV563","Cells","UV9","PBMC_Activated_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_CD7 BV711 (Cells).1235698.fcs","CD7","BV711","Cells","V13","PBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_CD8 BUV496 (Cells).1235699.fcs","CD8","BUV496","Cells","UV7","CBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_CXCR3 BUV737 (Cells).1235700.fcs","CXCR3","BUV737","Cells","UV14","PBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_Dump_CD14 Pacific Blue (Cells).1235701.fcs","Dump_CD14","Pacific Blue","Cells","V3","PBMC_Monocyte_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_Dump_CD19 Pacific Blue (Cells).1235702.fcs","Dump_CD19","Pacific Blue","Cells","V3","PBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_IFNg BV750 (Cells).1235703.fcs","IFNg","BV750","Cells","V14","PBMC_Activated_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_NKG2D PE (Cells).1235704.fcs","NKG2D","PE","Cells","YG1","PBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_PD1 PE-Vio770 (Cells).1235705.fcs","PD1","PE-Vio 770","Cells","YG9","CBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_TNFa PE-Dazzle594 (Cells).1235706.fcs","TNFa","PE-Dazzle 594","Cells","YG3","PBMC_Activated_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_VD2 BUV661 (Cells).1235707.fcs","VD2","BUV661","Cells","UV11","PBMC_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_Viability Zombie NIR (Cells).1235708.fcs","Viability","Zombie NIR","Cells","R6","CBMC_Dead_Unstained"
"DTR_2023_ILT_01-Reference Group-DR_Viability_PMA Zombie NIR (Cells).1235709.fcs","Viability_PMA","Zombie NIR","Cells","R6","PBMC_Dead_Unstained"
